time,open,high,low,close,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,MACD,Signal Line,Histogram,Cross
2020-04-06,39.88,46.71,39.23,43.13,183911661,31.026508611733107,24.95926950250814,NaN,NaN,NaN,NaN,-8.444202249743064,-5.833643904944363,-2.610558344798701,NaN
2020-04-13,44.45,44.69,38.93,43.22,165309013,31.19619757935442,24.046608596921516,NaN,NaN,NaN,NaN,-8.20980995769574,-6.474833724478951,-1.7349762332167886,NaN
2020-04-20,40.75,44.89,39.63,43.73,174665016,32.21390828295337,23.330896257771,NaN,NaN,NaN,NaN,-7.891926424522524,-7.039902033838512,-0.8520243906840115,NaN
2020-04-27,43.59,47.68,42.23,43.14,156797579,31.63101170735959,22.99977120552549,NaN,NaN,NaN,NaN,-7.600001417910775,-7.4759601511056,-0.12404126680517535,NaN
2020-05-04,42.51,47.15,42.22,46.18,121559836,37.86923665071839,23.689234611213013,NaN,NaN,NaN,NaN,-7.042168419364131,-7.745788981367152,0.7036205620030209,-7.745788981367152
2020-05-11,46.11,46.2,40.2,42,125827117,33.36171677745482,24.12863399798197,NaN,NaN,NaN,NaN,-6.858314435666735,-7.834531606111729,0.9762171704449942,NaN
2020-05-18,44.3999,46.63,43.45,44.6,107707340,38.28257284080937,25.00936793444161,NaN,NaN,NaN,NaN,-6.4287044548705765,-7.70965501808476,1.2809505632141835,NaN
2020-05-26,45.74,47.14,44.37,45.47,86736874,39.88231395328588,26.160978924918954,NaN,NaN,NaN,NaN,-5.949452139946295,-7.448440350146238,1.4989882101999426,NaN
2020-06-01,45.32,53.45,44.8,53.08,124835730,51.680481916054106,28.69026390849004,NaN,NaN,NaN,NaN,-4.899104005576028,-7.0359648339217635,2.1368608283457355,NaN
2020-06-08,54.72,55.36,45.905,47.17,162174272,44.393910465380856,30.86413677950125,NaN,NaN,NaN,NaN,-4.491804424453157,-6.5968095200006625,2.1050050955475053,NaN
2020-06-15,45.35,49.75,44.75,45.98,143790684,43.076911614230156,33.22387414580468,NaN,NaN,NaN,NaN,-4.216435186542611,-6.153101212094759,1.9366660255521477,NaN
2020-06-22,45.69,47.22,43.5,43.62,114981093,40.51020538673752,35.5044646556448,NaN,NaN,NaN,NaN,-4.140901621951244,-5.736320678475728,1.5954190565244843,NaN
2020-06-29,43.81,45.38,43.16,44.08,74712396,41.2450684886268,37.12531180357746,NaN,NaN,NaN,NaN,-3.9978379844856207,-5.336080296984044,1.3382423124984237,NaN
2020-07-06,44.67,45.08,41.1,42.65,103224017,39.607120413663985,38.284083192025896,NaN,NaN,NaN,NaN,-3.954265755878815,-4.992980001041231,1.0387142451624163,NaN
2020-07-13,42.98,45.0886,42.225,43.52,91443613,41.13865284216093,39.00637920848503,NaN,NaN,NaN,NaN,-3.805663402914753,-4.653796552957678,0.8481331500429246,NaN
2020-07-20,43.21,45.19,42.475,43.43,103082630,41.022755566117795,39.708276207539555,NaN,NaN,NaN,NaN,-3.6530471616703792,-4.345390187046545,0.6923430253761653,NaN
2020-07-27,43.23,44.25,40.91,42.08,113905642,39.237106627180694,40.20993323212722,NaN,NaN,NaN,NaN,-3.599538173098061,-4.084288635174519,0.484750462076458,NaN
2020-08-03,42.05,44.31,41.47,43.44,91403213,41.97716622747682,40.94894426927845,NaN,NaN,NaN,NaN,-3.40810476982233,-3.918622053424108,0.5105172836017777,NaN
2020-08-10,43.99,46.42,42.41,43.2,106798474,41.62048055004279,41.21689026208734,NaN,NaN,NaN,NaN,-3.2384278325570435,-3.779357987657873,0.5409301551008294,NaN
2020-08-17,43.17,43.19,40.71,41.01,84238052,38.41297065621582,41.577694110570256,NaN,NaN,NaN,NaN,-3.2432857554112218,-3.6712302730877187,0.4279445176764969,NaN
2020-08-24,41.28,42.5078,39.305,40.69,141800837,37.95272005101412,41.55413319701346,NaN,NaN,NaN,NaN,-3.235658364423351,-3.570647688917953,0.33498932449460206,NaN
2020-08-31,40.64,40.72,38.65,39.08,127600841,35.63904125148544,41.251042289741996,NaN,NaN,NaN,NaN,-3.321241937131724,-3.4954703503230755,0.17422841319135163,NaN
2020-09-08,38.25,38.84,36.49,36.9,125602386,32.729559600114314,39.89740498146058,NaN,NaN,NaN,NaN,-3.524348816750745,-3.4477018015310676,-0.07664701521967743,-3.4477018015310676
2020-09-14,36.91,38.15,36.21,37.19,152319988,33.50722053891833,39.119784272427545,NaN,NaN,NaN,NaN,-3.620180715976467,-3.42709261409348,-0.19308810188298686,NaN
2020-09-21,36.43,36.84,33.76,34.64,144188456,30.201120872334485,38.20008493372071,NaN,NaN,NaN,NaN,-3.8574258710282265,-3.4498013595776857,-0.4076245114505408,NaN
2020-09-28,35.14,35.9,32.21,32.98,135993628,28.247206053693404,37.324156409931845,NaN,NaN,NaN,NaN,-4.131764087994384,-3.5089375723439438,-0.62282651565044,NaN
2020-10-05,33.32,35.95,33.17,34.74,137118514,33.18301883570163,36.74829572043719,NaN,NaN,NaN,NaN,-4.159216946438022,-3.5923944808567985,-0.5668224655812235,NaN
2020-10-12,34.54,34.87,33.265,34.1,102552919,32.31256979721687,36.22725639069097,NaN,NaN,NaN,NaN,-4.184381243549836,-3.697500415411553,-0.4868808281382835,NaN
2020-10-19,34.1,35.08,33.02,34.16,134566332,32.491359613267164,35.60959258862713,NaN,NaN,NaN,NaN,-4.151625279822063,-3.79842702923498,-0.35319825058708343,NaN
2020-10-26,33.61,33.77,31.11,32.62,186646554,30.280543737282926,34.842291743710355,NaN,NaN,NaN,NaN,-4.201498809325116,-3.905742634224065,-0.29575617510105134,NaN
2020-11-02,33.14,34.49,32.53,32.78,177123045,30.807323118117793,34.240164350205866,NaN,NaN,NaN,NaN,-4.179929650852301,-4.001152380193018,-0.17877727065928362,NaN
2020-11-09,36.42,38.01,34.87,36.08,220274730,40.75075371287775,34.152563456305934,NaN,NaN,NaN,NaN,-3.8521483483353904,-4.03757455036909,0.18542620203369964,-4.03757455036909
2020-11-16,37.59,39.125,36.56,36.94,141499844,43.04772916561303,34.25450978598953,NaN,NaN,NaN,NaN,-3.4828365204564946,-4.022314084200204,0.5394775637437093,NaN
2020-11-23,37.5,42.08,37.28,40.19,119496965,50.80893717421035,35.13993596584628,NaN,NaN,NaN,NaN,-2.894539942825382,-3.915326758844332,1.02078681601895,NaN
2020-11-30,39.8,41.76,37.97,41.68,163249525,53.910013460814724,36.2797426379749,NaN,NaN,NaN,NaN,-2.281777211714676,-3.7097726614799202,1.4279954497652443,NaN
2020-12-07,41.42,44.469,40.44,43.8,158835563,57.9699600707361,37.874808267921374,NaN,NaN,NaN,NaN,-1.6065724826482892,-3.4261454988366165,1.8195730161883272,NaN
2020-12-14,44.34,44.46,42.06,42.73,159909177,55.32122728320937,39.48849881671388,NaN,NaN,NaN,NaN,-1.1446135355717928,-3.0883935312835007,1.943779995711708,NaN
2020-12-21,41.11,42.39,40.53,41.6,76806378,52.58844624871099,40.8514435102705,NaN,NaN,NaN,NaN,-0.8597783088244313,-2.722632756728208,1.8628544479037767,NaN
2020-12-28,41.69,42.55,40.97,41.22,90759080,51.66418980200632,42.384519862389915,NaN,NaN,NaN,NaN,-0.6571321532950236,-2.3288142393915314,1.6716820860965078,NaN
2021-01-04,41.45,45.82,41,45.46,166440638,60.09222927114798,44.65916437792238,NaN,NaN,NaN,NaN,-0.15264149408201177,-1.8813377775281657,1.728696283446154,NaN
2021-01-11,45.04,51.08,44.75,47.89,182092260,63.96971619242159,46.858214189116666,NaN,NaN,NaN,NaN,0.43820037845333815,-1.4046323634405293,1.8428327418938675,NaN
2021-01-19,48.45,49.74,46.64,47.43,99598427,62.727247805147655,49.03069118968315,NaN,NaN,NaN,NaN,0.8594217842465213,-0.9221592184735274,1.7815810027200487,NaN
2021-01-25,46.9,47.86,44.51,44.84,146711295,56.11816761542565,50.71832033269447,NaN,NaN,NaN,NaN,0.9730348881101705,-0.49242868170291054,1.465463569813081,NaN
2021-02-01,45.58,50.12,44.29,49.95,145072471,64.14494171321833,53.13720590240412,NaN,NaN,NaN,NaN,1.4585946146345634,-0.0768318121085506,1.535426426743114,NaN
2021-02-08,50.92,52.36,48.78,50.52,138428334,64.91585550652724,55.57352964443337,NaN,NaN,NaN,NaN,1.8678668264170994,0.30921700000982594,1.5586498264072735,NaN
2021-02-16,51.96,53.2695,51.62,52.37,96847168,67.3681815774267,57.47477449190115,NaN,NaN,NaN,NaN,2.3148138091365524,0.693597816088531,1.6212159930480214,NaN
2021-02-22,52.59,57.245,52.59,54.37,163653614,69.82387289746903,59.387356187033724,NaN,NaN,NaN,NaN,2.79815046159041,1.1000343461346245,1.6981161154557856,NaN
2021-03-01,56.47,61.05,55.88,60.93,206227193,76.16084602243409,61.198206819049695,NaN,NaN,NaN,NaN,3.6682501128110587,1.580632375701967,2.087617737109092,NaN
2021-03-08,61.58,62.55,59.47,61.97,150604910,76.98598103351515,62.846490217099735,NaN,NaN,NaN,NaN,4.391111661627114,2.0854938374474252,2.305617824179689,NaN
2021-03-15,61.49,61.855,55.8101,56.49,210526027,64.34743003854673,63.302023786229064,NaN,NaN,NaN,NaN,4.470264024242233,2.533500909201747,1.9367631150404865,NaN
2021-03-22,56.5,57.78,54.45,57.71,158312542,65.69755710055594,64.04319020175382,NaN,NaN,NaN,NaN,4.578656741114564,2.9467492377426407,1.6319075033719233,NaN
2021-03-29,57.34,57.82,55.8,57.39,88328754,65.00223359244856,64.92988929773507,NaN,NaN,NaN,NaN,4.5858743199619525,3.3481758412817277,1.2376984786802248,NaN
2021-04-05,57.3,57.5399,55.32,55.87,106596111,61.663774278451186,65.64414533176685,NaN,NaN,NaN,NaN,4.418014880939687,3.67700031531563,0.7410145656240568,NaN
2021-04-12,56.755,58.01,55.09,56.66,113662803,62.73501469290724,65.83291571903537,NaN,NaN,NaN,NaN,4.299173270526914,3.947145475772276,0.3520277947546382,NaN
2021-04-19,56.75,57.14,54.3,55.57,96472510,60.23407106671875,65.56608392434231,NaN,NaN,NaN,NaN,4.070118752163324,4.142179358330806,-0.072060606167482,4.142179358330806
2021-04-26,55.47,59.48,55.44,57.24,117928885,62.68829215280043,65.56330137774607,NaN,NaN,NaN,NaN,3.9774963374663415,4.273217788983688,-0.2957214515173465,NaN
2021-05-03,57.98,62.47,57.74,62.43,136005378,69.0758627522792,66.48885103037847,NaN,NaN,NaN,NaN,4.273618418971935,4.340480934112674,-0.06686251514073849,NaN
2021-05-10,63.24,64.02,58.75,60.77,145950441,65.22941797217095,66.56631362030366,NaN,NaN,NaN,NaN,4.324499042157555,4.33307953194939,-0.0085804897918349,NaN
2021-05-17,60.54,62.3,58.24,58.92,120828294,61.143128186547834,66.296833097448,NaN,NaN,NaN,NaN,4.167502390326831,4.299439350403234,-0.13193696007640288,NaN
2021-05-24,59.08,59.8,57.9,58.37,118521104,59.9409063592387,65.766313439006,NaN,NaN,NaN,NaN,3.953131766922965,4.229936575493056,-0.27680480857009115,NaN
2021-06-01,59.45,61.7,59.45,61.45,92153074,64.187531461856,65.36371762217648,NaN,NaN,NaN,NaN,3.9858256458296495,4.163264500589467,-0.17743885475981713,NaN
2021-06-07,61.33,63.975,60.67,62.17,118684793,65.11843614378807,64.57497405941605,NaN,NaN,NaN,NaN,4.023453891174427,4.119424390615549,-0.09597049944112257,NaN
2021-06-14,62.3,64.8,60.24,60.4,140600071,60.92570537064051,63.42781151206787,NaN,NaN,NaN,NaN,3.865886802585017,4.0712814497331165,-0.20539464714809963,NaN
